instance_id,ratio_node_edge,ratio_bi_edge,avg_out_degree,avg_in_degree,ratio_of_odd_out_degree,ratio_of_even_out_degree,ratio_of_odd_in_degree,ratio_of_even_in_degree,ratio_of_odd_degree,ratio_of_even_degree,ratio_out_degree_less_than_3,ratio_in_degree_less_than_3,ratio_degree_less_than_3,depth_avg_DFS_backjump,avg_depth_bfs,avg_depth_beam,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump.1,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,Frac_Unary_Rules_ham1,Frac_Binary_Rules_ham1,Frac_Ternary_Rules_ham1,Free_Problem_Variables_ham1,Problem_Variables_ham1,Assigned_Problem_Variables_ham1,Constraints_ham1,Rules_ham1,Frac_Normal_Rules_ham1,Frac_Cardinality_Rules_ham1,Frac_Choice_Rules_ham1,Frac_Binary_Constraints_ham1,Frac_Ternary_Constraints_ham1,Frac_Other_Constraints_ham1
instcross10_30_28.csv,0.2703,0.9838,3.7,3.7,0.232,0.768,0.236,0.764,0.104,0.896,0.034,0.032,0,275.8571,29.5714,29.5714,2,9,275.8571,2,2,11,9,38,29.5714,9,38,29.5714,0.2422,0.1582,0.3247,5700,7201,1501,11116,9702,0.6942,0.2027,0.1031,0.5202,0.2698,0.2101
instcross10_35_0.csv,0.271,0.9821,3.69,3.69,0.262,0.738,0.258,0.742,0.108,0.892,0.024,0.026,0,332.25,29.2308,29.2308,1,5,332.25,2,2,11,9,38,29.2308,9,38,29.2308,0.2423,0.1574,0.3249,5682,7184,1502,11068,9686,0.6931,0.2037,0.1032,0.519,0.2702,0.2108
instcross10_35_11.csv,0.271,0.981,3.69,3.69,0.254,0.746,0.242,0.758,0.124,0.876,0.028,0.034,0,291.5,28.6571,28.6571,1,5,291.5,2,2,11,9,38,28.6571,9,38,28.6571,0.2421,0.1581,0.3252,5686,7188,1502,11088,9689,0.6937,0.2031,0.1032,0.5199,0.2698,0.2102
instcross10_35_6.csv,0.271,0.981,3.69,3.69,0.258,0.742,0.25,0.75,0.136,0.864,0.026,0.03,0,259.5,24.68,27.2727,1,4,259.5,2,2,11,3,38,24.68,10,38,27.2727,0.2422,0.1577,0.3252,5686,7188,1502,11081,9688,0.6933,0.2034,0.1032,0.5195,0.2702,0.2103
instcross10_38_29.csv,0.2714,0.9794,3.684,3.684,0.256,0.744,0.268,0.732,0.136,0.864,0.03,0.024,0,296.6,27.8095,27.8095,4,16,296.6,2,2,11,4,38,27.8095,4,38,27.8095,0.2418,0.1579,0.326,5684,7185,1501,11080,9686,0.6931,0.2037,0.1032,0.519,0.2708,0.2102
instcross10_38_3.csv,0.2714,0.9805,3.684,3.684,0.26,0.74,0.26,0.74,0.132,0.868,0.028,0.028,0,249.125,27,27,5,19,249.125,2,2,11,5,38,27,5,38,27,0.2418,0.158,0.326,5684,7185,1501,11082,9686,0.6932,0.2036,0.1032,0.5192,0.2705,0.2103
instcross10_41_15.csv,0.2719,0.9777,3.678,3.678,0.254,0.746,0.27,0.73,0.144,0.856,0.034,0.026,0,222.3333,28.3947,28.3947,1,5,222.3333,2,2,11,9,38,28.3947,9,38,28.3947,0.2416,0.1583,0.3265,5678,7179,1501,11077,9680,0.6932,0.2035,0.1033,0.5191,0.2712,0.2097
instcross10_41_17.csv,0.2719,0.9777,3.678,3.678,0.278,0.722,0.254,0.746,0.156,0.844,0.022,0.034,0,292.3333,27.9737,27.9737,3,13,292.3333,2,2,11,7,38,27.9737,7,38,27.9737,0.2418,0.158,0.3262,5674,7176,1502,11064,9677,0.693,0.2037,0.1033,0.5194,0.2702,0.2104
instcross10_41_25.csv,0.2719,0.9788,3.678,3.678,0.266,0.734,0.262,0.738,0.132,0.868,0.028,0.03,0,235,27.6923,27.6923,3,12,235,2,2,11,6,38,27.6923,6,38,27.6923,0.2418,0.1581,0.3262,5674,7175,1501,11067,9677,0.6931,0.2036,0.1033,0.5192,0.2705,0.2103
instcross10_41_26.csv,0.2719,0.9788,3.678,3.678,0.266,0.734,0.266,0.734,0.136,0.864,0.028,0.028,0,260.7778,27.2444,27.2444,2,8,260.7778,2,2,11,9,38,27.2444,9,38,27.2444,0.2418,0.158,0.3262,5674,7175,1501,11065,9677,0.693,0.2037,0.1033,0.519,0.2707,0.2103
instcross10_44_15.csv,0.2723,0.9771,3.672,3.672,0.264,0.736,0.26,0.74,0.152,0.848,0.032,0.034,0,239.8,28.6591,28.5116,1,5,239.8,2,2,11,7,38,28.6591,7,38,28.5116,0.2417,0.1586,0.3268,5668,7170,1502,11065,9671,0.6933,0.2033,0.1034,0.5197,0.2706,0.2097
instcross10_44_16.csv,0.2723,0.9771,3.672,3.672,0.252,0.748,0.256,0.744,0.14,0.86,0.038,0.036,0,273.9231,28.1136,28.2609,1,5,273.9231,2,2,11,9,38,28.1136,9,38,28.2609,0.2415,0.1591,0.3271,5672,7173,1501,11082,9674,0.6937,0.2029,0.1034,0.52,0.2708,0.2092
instcross10_44_20.csv,0.2723,0.976,3.672,3.672,0.248,0.752,0.264,0.736,0.16,0.84,0.04,0.032,0,276.5556,28.1282,28.1282,2,7,276.5556,2,2,11,9,38,28.1282,9,38,28.1282,0.2417,0.1589,0.3268,5668,7169,1501,11072,9671,0.6936,0.203,0.1034,0.5198,0.2709,0.2094
instcross10_44_24.csv,0.2723,0.9771,3.672,3.672,0.28,0.72,0.264,0.736,0.156,0.844,0.024,0.032,0,284.75,27.15,27.15,3,13,284.75,2,2,11,9,38,27.15,9,38,27.15,0.2415,0.1582,0.3271,5672,7173,1501,11064,9674,0.6928,0.2038,0.1034,0.5192,0.2706,0.2102
instcross10_44_28.csv,0.2723,0.976,3.672,3.672,0.268,0.732,0.26,0.74,0.172,0.828,0.03,0.034,0,279.7273,26.7826,27.3556,6,25,279.7273,2,2,12,1,38,26.7826,1,38,27.3556,0.2418,0.1585,0.3264,5664,7166,1502,11055,9668,0.6932,0.2034,0.1034,0.5196,0.2705,0.21
instcross10_44_3.csv,0.2723,0.976,3.672,3.672,0.276,0.724,0.276,0.724,0.152,0.848,0.026,0.026,0,264,27.3421,27.3421,2,8,264,2,2,11,9,38,27.3421,9,38,27.3421,0.2415,0.1579,0.3271,5672,7173,1501,11060,9674,0.6926,0.2041,0.1034,0.5187,0.2711,0.2102
instcross10_45_15.csv,0.2725,0.9755,3.67,3.67,0.266,0.734,0.262,0.738,0.156,0.844,0.032,0.034,0,259.125,27.1429,27.1429,4,14,259.125,2,2,1,5,38,27.1429,5,38,27.1429,0.2418,0.1586,0.3266,5662,7164,1502,11054,9666,0.6933,0.2033,0.1035,0.5196,0.2706,0.2098
instcross10_47_25.csv,0.2728,0.9744,3.666,3.666,0.254,0.746,0.266,0.734,0.156,0.844,0.04,0.034,0,244.6,27.975,27.975,5,19,244.6,2,2,11,9,38,27.975,9,38,27.975,0.2417,0.1591,0.327,5658,7159,1501,11057,9662,0.6935,0.203,0.1035,0.5198,0.2709,0.2094
instcross10_47_6.csv,0.2728,0.9744,3.666,3.666,0.286,0.714,0.258,0.742,0.16,0.84,0.024,0.038,0,256.8462,27.9231,27.9744,3,12,256.8462,2,2,20,8,38,27.9231,8,38,27.9744,0.2415,0.1585,0.3273,5662,7164,1502,11052,9665,0.6929,0.2036,0.1035,0.5196,0.2704,0.21
instcross10_50_1.csv,0.2732,0.9727,3.66,3.66,0.272,0.728,0.276,0.724,0.18,0.82,0.034,0.032,0,331.2308,23.9184,26.9048,5,19,331.2308,2,2,11,1,38,23.9184,1,38,26.9048,0.2413,0.1588,0.3278,5656,7158,1502,11047,9659,0.6929,0.2035,0.1035,0.5194,0.2712,0.2094
instcross10_50_21.csv,0.2732,0.9749,3.66,3.66,0.272,0.728,0.272,0.728,0.176,0.824,0.034,0.034,0,239.4667,28.4474,28.4474,6,23,239.4667,2,2,11,6,38,28.4474,6,38,28.4474,0.2412,0.159,0.3281,5660,7161,1501,11058,9662,0.693,0.2035,0.1035,0.5195,0.2711,0.2094
instcross10_50_23.csv,0.2732,0.9727,3.66,3.66,0.264,0.736,0.28,0.72,0.184,0.816,0.038,0.03,0,261.7273,25.0426,27.1905,1,5,261.7273,2,2,11,3,38,25.0426,3,38,27.1905,0.2413,0.1589,0.3278,5656,7157,1501,11050,9659,0.693,0.2034,0.1035,0.5193,0.2714,0.2093
instcross10_50_29.csv,0.2732,0.9738,3.66,3.66,0.272,0.728,0.268,0.732,0.172,0.828,0.034,0.036,0,197.3846,26.5952,24.9348,4,14,197.3846,2,2,1,5,38,26.5952,5,38,24.9348,0.2413,0.159,0.3278,5656,7157,1501,11052,9659,0.6931,0.2033,0.1035,0.5195,0.2711,0.2094
instcross10_50_5.csv,0.2732,0.9727,3.66,3.66,0.26,0.74,0.252,0.748,0.168,0.832,0.04,0.044,0,188.2308,27.766,27.7391,5,21,188.2308,2,2,11,9,38,27.766,9,38,27.7391,0.2413,0.1597,0.3278,5656,7157,1501,11066,9659,0.6939,0.2026,0.1035,0.5206,0.2705,0.2089
instcross10_50_9.csv,0.2732,0.976,3.66,3.66,0.264,0.736,0.256,0.744,0.168,0.832,0.038,0.042,0,269.7222,27.225,27.275,1,5,269.7222,2,2,11,7,38,27.225,7,38,27.275,0.2413,0.1595,0.3278,5656,7158,1502,11061,9659,0.6937,0.2028,0.1035,0.5205,0.2706,0.2089
